id,name,x,y,simc,prng,kind,gmina,powiat
1544,Długie Grodzieckie,540.240,717.816,0669447,24127,wieś,Ceranów-gmina wiejska,sokołowski
1545,Długie Grzymki,538.896,718.693,0669476,24128,wieś,Ceranów-gmina wiejska,sokołowski
1546,Długie Kamieńskie,538.772,720.124,0669482,24149,wieś,Ceranów-gmina wiejska,sokołowski
1547,Długokąty,591.933,603.881,0128823,24214,wieś,Wieczfnia Kościelna-gmina wiejska,mławski
1548,Długokąty,457.355,589.276,0734736,24215,wieś,Puszcza Mariańska-gmina wiejska,żyrardowski
1549,Długosiodło,546.867,674.872,0509353,24240,wieś,Długosiodło-gmina wiejska,wyszkowski
1550,Długosz,377.257,629.286,0639370,24243,wieś,Szydłowiec-gmina miejsko-wiejska,szydłowiecki
1551,Długowizna,457.934,600.372,0732482,24255,wieś,Mszczonów-gmina miejsko-wiejska,żyrardowski
1552,Długowola,434.261,629.536,0620435,24256,wieś,Goszczyn-gmina wiejska,grójecki
1553,Długowola Druga,362.567,681.670,0628017,24258,wieś,Lipsko-gmina miejsko-wiejska,lipski
1554,Długowola Pierwsza,362.118,682.649,0628000,24259,wieś,Lipsko-gmina miejsko-wiejska,lipski
1555,Długołęka,563.363,620.374,0121420,24224,wieś,Opinogóra Górna-gmina wiejska,ciechanowski
1556,Długołęka Wielka,568.660,660.409,0514673,24230,wieś,Młynarze-gmina wiejska,makowski
1557,Długołęka-Koski,569.487,659.245,0514667,24227,wieś,Młynarze-gmina wiejska,makowski
1558,Dłuska Wola,407.736,622.067,0632310,24262,wieś,Potworów-gmina wiejska,przysuski
1559,Dłutkowo,566.757,641.924,0517341,24269,wieś,Płoniawy-Bramura-gmina wiejska,makowski
1560,Dłutowo,515.554,597.516,0119362,24270,wieś,Naruszewo-gmina wiejska,płoński
1561,Dłutówka,586.421,652.307,0506053,24276,wieś,Baranowo-gmina wiejska,ostrołęcki
1562,Dłużew,468.275,677.915,0687020,24307,wieś,Siennica-gmina miejsko-wiejska,miński
1563,Dłużka,486.851,675.693,0681626,24312,wieś,Mińsk Mazowiecki-gmina wiejska,miński
1564,Dłużniewo,538.803,590.392,0111596,24322,wieś,Baboszewo-gmina wiejska,płoński
1565,Dłużniewo Duże,534.568,573.003,0576527,24324,wieś,Staroźreby-gmina miejsko-wiejska,płocki
1566,Dźwierzno,566.003,563.139,0112012,29335,wieś,Bieżuń-gmina miejsko-wiejska,żuromiński
1567,Dźwierzno,524.711,554.420,0573575,29336,wieś,Radzanowo-gmina wiejska,płocki
1568,Edwardowo,447.722,612.476,0732507,29367,wieś,Mszczonów-gmina miejsko-wiejska,żyrardowski
1569,Edwardów,448.473,642.400,0616540,29370,wieś,Chynów-gmina wiejska,grójecki
1570,Edwardów,430.484,658.048,0621713,29372,wieś,Grabów nad Pilicą-gmina wiejska,kozienicki
1571,Edwardów,383.256,660.201,0636896,29374,wieś,Skaryszew-gmina miejsko-wiejska,radomski
1572,Elżbiecin,566.905,552.252,0119161,29438,wieś,Lutocin-gmina wiejska,żuromiński
1573,Elżbiecin,558.415,613.782,0121488,29439,kolonia,Opinogóra Górna-gmina wiejska,ciechanowski
1574,Elżbiecin,582.901,644.670,0511752,29441,wieś,Krasnosielc-gmina wiejska,makowski
1575,Elżbietów,433.266,694.288,0692430,29461,wieś,Trojanów-gmina wiejska,garwoliński
1576,Elżbietów,479.467,595.070,0738728,29459,wieś,Teresin-gmina wiejska,sochaczewski
1577,Emilianów,511.281,653.582,0007634,29501,wieś,Radzymin-gmina miejsko-wiejska,wołomiński
1578,Emilianów,511.762,537.211,0564270,29500,wieś,Gostynin-gmina wiejska,gostyniński
1579,Emilianów,494.309,567.689,0566150,29503,wieś,Iłów-gmina wiejska,sochaczewski
1580,Emilianów,410.403,604.392,0630043,29510,wieś,Odrzywół-gmina miejsko-wiejska,przysuski
1581,Emilianów,516.699,716.772,0688775,29508,wieś,Sokołów Podlaski-gmina wiejska,sokołowski
1582,Emilianów,451.625,591.014,0734759,29506,wieś,Puszcza Mariańska-gmina wiejska,żyrardowski
1583,Emilianówka,465.780,715.108,0670775,29523,wieś,Domanice-gmina wiejska,siedlecki
1584,Emilin,522.252,727.420,0685618,29526,osada leśna,Sabnie-gmina wiejska,sokołowski
1585,Emilów,422.584,661.031,0619350,29535,wieś,Głowaczów-gmina miejsko-wiejska,kozienicki
1586,Emolinek,509.912,602.893,0010369,29542,wieś,Zakroczym-gmina miejsko-wiejska,nowodworski
1587,Emowo,568.169,631.170,0517789,29543,wieś,Przasnysz-gmina wiejska,przasnyski
1588,Emów,479.630,655.980,0009930,29544,wieś,Wiązowna-gmina wiejska,otwocki
1589,Erminów,483.279,578.284,0736600,29559,wieś,Rybno-gmina wiejska,sochaczewski
1590,Eugeniów,354.756,674.065,0636301,29579,wieś,Sienno-gmina miejsko-wiejska,lipski
1591,Ewelin,449.499,673.265,0670918,29592,wieś,Garwolin-gmina wiejska,garwoliński
1592,Fabianów,435.505,616.874,0614854,29619,wieś,Błędów-gmina wiejska,grójecki
1593,Falatycze,491.009,761.130,0017408,29670,wieś,Platerów-gmina wiejska,łosicki
1594,Falatycze,490.979,762.260,1054890,236165,osada leśna,Platerów-gmina wiejska,łosicki
1595,Falbogi,490.268,692.981,0673762,29672,wieś,Kałuszyn-gmina miejsko-wiejska,miński
1596,Falbogi Borowe,517.038,611.512,0006770,29673,wieś,Pomiechówek-gmina wiejska,nowodworski
1597,Falbogi Wielkie,517.078,606.880,0129745,29674,wieś,Załuski-gmina wiejska,płoński
1598,Falenty,476.202,631.564,0007960,29686,osada,Raszyn-gmina wiejska,pruszkowski
1599,Falenty Duże,475.629,630.939,0007953,29687,wieś,Raszyn-gmina wiejska,pruszkowski
1600,Falenty Nowe,476.338,632.595,0008013,29688,wieś,Raszyn-gmina wiejska,pruszkowski
1601,Falęcice,424.528,634.044,0632740,29690,wieś,Promna-gmina wiejska,białobrzeski
1602,Falęcice-Parcela,427.707,632.475,0632970,97112,wieś,Promna-gmina wiejska,białobrzeski
1603,Falęcice-Wola,424.650,633.069,0632763,29691,wieś,Promna-gmina wiejska,białobrzeski
1604,Falęcin,476.938,614.480,0000550,29696,wieś,Brwinów-gmina miejsko-wiejska,pruszkowski
1605,Falęcin,444.424,638.014,0622173,29697,wieś,Grójec-gmina miejsko-wiejska,grójecki
1606,Famułki Brochowskie,494.723,591.844,0009610,29743,wieś,Brochów-gmina wiejska,sochaczewski
1607,Famułki Królewskie,497.590,593.264,0009633,29744,wieś,Brochów-gmina wiejska,sochaczewski
1608,Famułki Łazowskie,496.714,594.050,0009640,29745,wieś,Brochów-gmina wiejska,sochaczewski
1609,Faustynowo,548.809,590.919,0114608,29794,wieś,Glinojeck-gmina miejsko-wiejska,ciechanowski
1610,Felcyn,566.251,553.267,0119178,29813,wieś,Lutocin-gmina wiejska,żuromiński
1611,Feliksów,488.792,614.916,0004370,29847,wieś,Leszno-gmina wiejska,warszawski zachodni
1612,Feliksów,498.303,534.398,0564286,29844,wieś,Gostynin-gmina wiejska,gostyniński
1613,Feliksów,486.507,589.861,0738250,29846,wieś,Sochaczew-gmina wiejska,sochaczewski
1614,Feliksów,471.176,598.254,0739283,29849,wieś,Wiskitki-gmina miejsko-wiejska,żyrardowski
1615,Felin,483.295,761.106,0012492,29871,wieś,Huszlew-gmina wiejska,łosicki
1616,Fidest,523.489,669.713,0522833,29923,wieś,Wyszków-gmina miejsko-wiejska,wyszkowski
1617,Fidury,550.034,685.626,0516330,29928,wieś,Ostrów Mazowiecka-gmina wiejska,ostrowski
