id,name,x,y,simc,prng,kind,gmina,powiat
1,Białobrzegi,421.693,635.147,0973286,4784,miasto,Białobrzegi-gmina miejsko-wiejska,białobrzeski
2,Bieżuń,566.386,559.662,0111981,5974,miasto,Bieżuń-gmina miejsko-wiejska,żuromiński
3,Bodzanów,515.404,570.077,0560213,7520,miasto,Bodzanów-gmina miejsko-wiejska,płocki
4,Brok,540.798,693.022,0966151,168371,miasto,Brok-gmina miejsko-wiejska,ostrowski
5,Brwinów,476.506,617.456,0920284,10658,miasto,Brwinów-gmina miejsko-wiejska,pruszkowski
6,Błonie,482.229,610.546,0920249,6664,miasto,Błonie-gmina miejsko-wiejska,warszawski zachodni
7,Cegłów,479.187,687.415,0668956,14616,miasto,Cegłów-gmina miejsko-wiejska,miński
8,Chorzele,601.122,626.500,0966270,16299,miasto,Chorzele-gmina miejsko-wiejska,przasnyski
9,Ciechanów,558.628,608.276,0930414,17260,miasto,Ciechanów-gmina miejska,ciechanowski
10,Ciepielów,378.896,679.662,0617203,17531,miasto,Ciepielów-gmina miejsko-wiejska,lipski
11,Czerwińsk nad Wisłą,503.912,589.300,0561885,20349,miasto,Czerwińsk nad Wisłą-gmina miejsko-wiejska,płoński
12,Dobre,498.365,682.506,0670278,24695,miasto,Dobre-gmina miejsko-wiejska,miński
13,Drobin,541.855,566.730,0563223,26266,miasto,Drobin-gmina miejsko-wiejska,płocki
14,Garwolin,451.106,679.859,0975285,31802,miasto,Garwolin-gmina miejska,garwoliński
15,Gielniów,393.604,602.670,0618817,32457,miasto,Gielniów-gmina miejsko-wiejska,przysuski
16,Glinojeck,551.201,586.990,0114620,33165,miasto,Glinojeck-gmina miejsko-wiejska,ciechanowski
17,Gostynin,507.136,531.398,0968977,35323,miasto,Gostynin-gmina miejska,gostyniński
18,Grodzisk Mazowiecki,472.079,611.327,0920380,38842,miasto,Grodzisk Mazowiecki-gmina miejsko-wiejska,grodziski
19,Grójec,446.002,628.487,0973352,39404,miasto,Grójec-gmina miejsko-wiejska,grójecki
20,Góra Kalwaria,459.595,652.134,0920321,35763,miasto,Góra Kalwaria-gmina miejsko-wiejska,piaseczyński
21,Gąbin,503.927,549.844,0968871,32029,miasto,Gąbin-gmina miejsko-wiejska,płocki
22,Głowaczów,419.957,660.391,0619366,33763,miasto,Głowaczów-gmina miejsko-wiejska,kozienicki
23,Halinów,486.864,661.126,0002766,40667,miasto,Halinów-gmina miejsko-wiejska,miński
